"row"	"col"	"value"
"89"	"MA-50-3-T4"	"MP-50-1-T0"	35.0985473146575
"90"	"MA-50-2-T2"	"MP-50-1-T0"	29.0975332215775
"91"	"MA-50-2-T4"	"MP-50-1-T0"	41.959448510923
"92"	"MN-50-2-T4"	"MP-50-1-T0"	40.2589445614469
"93"	"HA-50-2-T4"	"MP-50-1-T0"	33.2700812296718
"94"	"LA-50-1-T4"	"MP-50-1-T0"	33.6974919380182
"95"	"HC-50-2-TM"	"MP-50-1-T0"	28.0166885363335
"96"	"HC-50-1-TM"	"MP-50-1-T0"	28.5652659246559
"97"	"MC-50-1-TM"	"MP-50-1-T0"	28.9706504815334
"98"	"MP-50-3-TM"	"MP-50-1-T0"	29.5126612921325
"99"	"LA-50-2-T4"	"MP-50-1-T0"	33.867633144943
"100"	"LN-50-1-T0"	"MP-50-1-T0"	36.9552479619333
"101"	"MP-50-1-TM"	"MP-50-1-T0"	27.9887409298311
"102"	"LC-50-2-T0"	"MP-50-1-T0"	32.5861700838676
"103"	"HN-50-3-T2"	"MP-50-1-T0"	34.1904096426867
"104"	"HP-50-1-TX"	"MP-50-1-T0"	34.3520412420526
"105"	"HP-50-2-TX"	"MP-50-1-T0"	29.1239432712173
"106"	"HC-50-1-TX"	"MP-50-1-T0"	31.7076078175267
"107"	"HC-50-3-TM"	"MP-50-1-T0"	27.6058658903139
"108"	"HP-50-3-TM"	"MP-50-1-T0"	28.1216596135561
"109"	"HA-50-1-T2"	"MP-50-1-T0"	33.605265270582
"110"	"LN-50-2-T3"	"MP-50-1-T0"	27.6716246393345
"111"	"MC-50-2-TM"	"MP-50-1-T0"	28.1988931832554
"112"	"MC-50-3-TM"	"MP-50-1-T0"	27.7013892189302
"113"	"HP-50-2-TM"	"MP-50-1-T0"	29.4818106780707
"114"	"CTRL-50-4-TM"	"MP-50-1-T0"	27.5709711868586
"115"	"HC-50-1-TE"	"MP-50-1-T0"	28.8255232839117
"116"	"MP-50-2-TE"	"MP-50-1-T0"	31.0250550715521
"117"	"MC-50-2-TE"	"MP-50-1-T0"	29.2959703964684
"118"	"HC-50-2-TE"	"MP-50-1-T0"	30.4229023559194
"119"	"MC-50-1-TE"	"MP-50-1-T0"	28.8507768804685
"120"	"HC-50-3-TE"	"MP-50-1-T0"	32.3013836496486
"121"	"MP-50-1-TE"	"MP-50-1-T0"	32.0665848539618
"122"	"HP-50-3-TE"	"MP-50-1-T0"	29.0254858312275
"123"	"CTRL-50-4-TE"	"MP-50-1-T0"	28.087487272851
"124"	"HP-50-1-TE"	"MP-50-1-T0"	26.8164681586103
"125"	"MP-50-3-TE"	"MP-50-1-T0"	29.182354305505
"126"	"CTRL-50-3-TE"	"MP-50-1-T0"	26.6995423032223
"127"	"CTRL-50-4-TX"	"MP-50-1-T0"	25.7493369751754
"128"	"MP-50-3-TX"	"MP-50-1-T0"	34.4890695329606
"129"	"MC-50-3-TX"	"MP-50-1-T0"	28.4814536459291
"130"	"HC-50-3-TX"	"MP-50-1-T0"	28.461039310437
"131"	"MA-50-3-T2"	"MP-50-1-T0"	26.8924663701258
"132"	"MP-50-2-TX"	"MP-50-1-T0"	28.1869384334834
"133"	"MC-50-2-TX"	"MP-50-1-T0"	28.7826290146441
"134"	"HC-50-2-TX"	"MP-50-1-T0"	29.453453242916
"135"	"MC-50-1-TX"	"MP-50-1-T0"	26.5895356495709
"136"	"CTRL-50-3-TX"	"MP-50-1-T0"	27.7320301481746
"137"	"HP-50-1-TM"	"MP-50-1-T0"	31.6550035878605
"138"	"MP-50-2-TM"	"MP-50-1-T0"	27.8168674524673
"139"	"CTRL-50-3-TM"	"MP-50-1-T0"	30.7175859938488
"140"	"HP-50-3-TX"	"MP-50-1-T0"	30.6579126725538
"141"	"HP-50-3-T0"	"MP-50-1-T0"	30.2851299344229
"142"	"LN-50-2-T0"	"MP-50-1-T0"	23.3929751906386
"143"	"LN-50-3-T0"	"MP-50-1-T0"	36.0451810790044
"144"	"MA-50-2-T0"	"MP-50-1-T0"	38.7132408362467
"145"	"MC-50-3-T0"	"MP-50-1-T0"	31.2486537077762
"146"	"MN-50-3-T0"	"MP-50-1-T0"	29.5578660030388
"147"	"HN-50-1-T0"	"MP-50-1-T0"	29.4911119436934
