"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV_217"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Hyphomonadaceae"	"Ponticaulis"	"koreensis"
"ASV_218"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium_1"	"riegelii"
"ASV_219"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	NA
"ASV_220"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"ASV_221"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"KI89A_clade"	NA	NA	NA
"ASV_222"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	"Thalassotalea"	"ganghwensis"
"ASV_223"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Saccharospirillaceae"	NA	NA
"ASV_224"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionales"	"Bacteriovoracaceae"	"Halobacteriovorax"	NA
"ASV_225"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Halomonadaceae"	"Oceanospirillum"	NA
"ASV_226"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Facklamia"	"ignava"
"ASV_227"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11_clade"	"Clade_III"	NA	NA
"ASV_228"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Methylophilaceae"	"OM43_clade"	NA
"ASV_229"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium_1"	NA
"ASV_230"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Pseudoalteromonadaceae"	"Algicola"	NA
"ASV_231"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium_1"	"genitalium"
"ASV_232"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Family_XI"	"Anaerococcus"	NA
"ASV_233"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Spongiibacteraceae"	"BD1-7_clade"	NA
"ASV_234"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Thalassobius"	NA
"ASV_235"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"NS5_marine_group"	NA
"ASV_236"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11_clade"	"Clade_I"	"Clade_Ia"	NA
"ASV_237"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium_1"	"lipophiloflavum"
"ASV_238"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	"Thalassotalea"	NA
"ASV_239"	"Bacteria"	"Acidobacteria"	"Holophagae"	"Acanthopleuribacterales"	"Acanthopleuribacteraceae"	"Acanthopleuribacter"	NA
"ASV_240"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Family_XI"	"Peptoniphilus"	"lacrimalis"
"ASV_241"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Actibacter"	NA
"ASV_242"	"Bacteria"	"Acidobacteria"	"Holophagae"	"Acanthopleuribacterales"	"Acanthopleuribacteraceae"	"Acanthopleuribacter"	NA
"ASV_243"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oleiphilaceae"	"Oleiphilus"	NA
"ASV_244"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	NA	NA
"ASV_245"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Nitrincolaceae"	"Amphritea"	NA
"ASV_246"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Amoebophilaceae"	"Candidatus_Amoebophilus"	NA
"ASV_247"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	NA	NA	NA	NA
"ASV_248"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"NS5_marine_group"	NA
"ASV_249"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"NS4_marine_group"	NA
"ASV_250"	"Bacteria"	"Planctomycetes"	"Planctomycetacia"	"Pirellulales"	"Pirellulaceae"	"Blastopirellula"	NA
"ASV_251"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Halieaceae"	"OM60(NOR5)_clade"	NA
"ASV_252"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	NA	NA	NA
"ASV_253"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Parvibaculales"	"PS1_clade"	NA	NA
"ASV_254"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	NA
"ASV_255"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Salinisphaerales"	"Solimonadaceae"	"Oceanococcus"	"atlanticus"
"ASV_256"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	NA	NA	NA
"ASV_257"	"Bacteria"	"Proteobacteria"	NA	NA	NA	NA	NA
"ASV_258"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium_1"	NA
"ASV_259"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Taibaiella"	NA
"ASV_260"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Alcanivoracaceae"	"Alcanivorax"	NA
"ASV_261"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium_1"	NA
"ASV_262"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Beggiatoales"	"Beggiatoaceae"	"Thioflexothrix"	NA
"ASV_263"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA
"ASV_264"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	NA
"ASV_265"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"NS5_marine_group"	NA
"ASV_266"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Pseudohongiellaceae"	"Pseudohongiella"	NA
"ASV_267"	"Bacteria"	"Lentisphaerae"	"Lentisphaeria"	"Lentisphaerales"	"Lentisphaeraceae"	"Lentisphaera"	NA
"ASV_268"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Erythrobacter"	NA
"ASV_269"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"	"Lewinella"	NA
"ASV_270"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Spongiibacteraceae"	"BD1-7_clade"	NA
"ASV_271"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"BD2-7"	NA	NA
"ASV_272"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Hyphomonadaceae"	"Maricaulis"	"maris"
"ASV_273"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Hyphomonadaceae"	"Oceanicaulis"	"stylophorae"
"ASV_274"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11_clade"	"Clade_I"	"Clade_Ia"	NA
"ASV_275"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Vibrio"	NA
"ASV_276"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Marinibacterium"	NA
"ASV_277"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Aestuariibacter"	NA
"ASV_278"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Aestuariibacter"	NA
"ASV_279"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Alcanivoracaceae"	"Alcanivorax"	NA
"ASV_280"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Dialister"	"propionicifaciens"
"ASV_281"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Tenderiales"	"Tenderiaceae"	"Candidatus_Tenderia"	NA
"ASV_282"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Pelomonas"	NA
"ASV_283"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	NA
"ASV_284"	"Bacteria"	"Acidobacteria"	"Holophagae"	"Acanthopleuribacterales"	"Acanthopleuribacteraceae"	"Acanthopleuribacter"	NA
"ASV_285"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Tropicimonas"	NA
"ASV_286"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	"Ekhidna"	NA
"ASV_287"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Spongiibacteraceae"	"BD1-7_clade"	NA
"ASV_288"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Thiohalorhabdales"	"Thiohalorhabdaceae"	NA	NA
"ASV_289"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobulbaceae"	"Desulfopila"	NA
"ASV_290"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Facklamia"	"hominis"
"ASV_291"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Halodesulfovibrio"	NA
"ASV_292"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Empedobacter"	NA
"ASV_293"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Aureivirga"	NA
"ASV_294"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionales"	"Bdellovibrionaceae"	"OM27_clade"	NA
"ASV_295"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"ASV_296"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Micavibrionales"	"Micavibrionaceae"	NA	NA
"ASV_297"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Terasakiellaceae"	"Terasakiella"	NA
"ASV_298"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Lacimicrobium"	NA
"ASV_299"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Pseudoalteromonadaceae"	"Algicola"	NA
"ASV_300"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	NA	NA	NA
"ASV_301"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"SAR116_clade"	NA	NA
"ASV_302"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	"caenipelagi"
"ASV_303"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Rhodococcus"	NA
"ASV_304"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Litoricolaceae"	"Litoricola"	NA
"ASV_305"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA	NA
"ASV_306"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Methylophilaceae"	"Methylophilus"	NA
"ASV_307"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Halieaceae"	"OM60(NOR5)_clade"	NA
"ASV_308"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Stappiaceae"	"Labrenzia"	NA
"ASV_309"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	NA
"ASV_310"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"	NA	NA
"ASV_311"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	"holothuriorum"
"ASV_312"	"Bacteria"	"Planctomycetes"	"Planctomycetacia"	"Planctomycetales"	"Rubinisphaeraceae"	"Fuerstia"	NA
"ASV_313"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	"disiens"
"ASV_314"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"ASV_315"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Halomonadaceae"	"Halomonas"	NA
"ASV_316"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	"Saprospiraceae"	NA	NA
"ASV_317"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"SAR11_clade"	"Clade_III"	NA	NA
"ASV_318"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Family_XI"	"Finegoldia"	"magna"
"ASV_319"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	"Fulvivirga"	NA
"ASV_320"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Spongiibacteraceae"	NA	NA
"ASV_321"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Qipengyuania"	NA
"ASV_322"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Nitrincolaceae"	"Neptuniibacter"	NA
"ASV_323"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"NS5_marine_group"	NA
"ASV_324"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae_1"	NA	NA
"ASV_325"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	NA
"ASV_326"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Hyphomonadaceae"	"Maricaulis"	NA
"ASV_327"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Marinifilaceae"	NA	NA
"ASV_328"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Ruegeria"	NA
"ASV_329"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	NA
"ASV_330"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Pseudoalteromonadaceae"	"Psychrosphaera"	NA
"ASV_331"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	NA
"ASV_332"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionales"	"Bdellovibrionaceae"	"OM27_clade"	NA
"ASV_333"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	NA
"ASV_334"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Ascidiaceihabitans"	NA
"ASV_335"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Brevibacteriaceae"	"Brevibacterium"	"ravenspurgense"
"ASV_336"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"SD04E11"	NA
"ASV_337"	"Bacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Phormidesmiales"	"Phormidesmiaceae"	"Acrophormium_PCC-7375"	NA
"ASV_338"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"ASV_339"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Parvularculaceae"	"Parvularcula"	NA
"ASV_340"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Dermacoccaceae"	"Dermacoccus"	"nishinomiyaensis"
"ASV_341"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Parvibaculales"	"PS1_clade"	NA	NA
"ASV_342"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Erythrobacter"	NA
"ASV_343"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Nitrincolaceae"	"Marinobacterium"	NA
"ASV_344"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Gilvibacter"	NA
"ASV_345"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Pseudohongiellaceae"	"Pseudohongiella"	NA
"ASV_346"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	NA	NA	NA
"ASV_347"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Family_XII"	"Fusibacter"	NA
"ASV_348"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Micavibrionales"	"Micavibrionaceae"	NA	NA
"ASV_349"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingopyxis"	NA
"ASV_350"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Family_XI"	"Peptoniphilus"	"duerdenii"
"ASV_351"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Weeksellaceae"	"Cloacibacterium"	NA
"ASV_352"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"NS5_marine_group"	NA
"ASV_353"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Family_XI"	"Peptoniphilus"	NA
"ASV_354"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Spongiibacteraceae"	"BD1-7_clade"	NA
"ASV_355"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Shewanellaceae"	"Shewanella"	NA
"ASV_356"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Dysgonomonadaceae"	"Proteiniphilum"	"acetatigenes"
"ASV_357"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	NA
"ASV_358"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Opitutales"	"Puniceicoccaceae"	"Lentimonas"	NA
"ASV_359"	"Bacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Synechococcales"	"Cyanobiaceae"	"Synechococcus_CC9902"	NA
"ASV_360"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Rickettsiaceae"	"Candidatus_Megaira"	NA
"ASV_361"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Altererythrobacter"	NA
"ASV_362"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Family_XI"	"Anaerococcus"	NA
"ASV_363"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"BD2-7"	NA	NA
"ASV_364"	"Bacteria"	"Planctomycetes"	"Phycisphaerae"	"Phycisphaerales"	"Phycisphaeraceae"	"Phycisphaera"	NA
"ASV_365"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	NA
"ASV_366"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Family_XI"	"Gemella"	NA
"ASV_367"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	NA	NA
"ASV_368"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"	NA
"ASV_369"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodovibrionales"	"Kiloniellaceae"	"Pelagibius"	NA
"ASV_370"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Halieaceae"	NA	NA
"ASV_371"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	NA
"ASV_372"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Opitutales"	"Puniceicoccaceae"	"Lentimonas"	NA
"ASV_373"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Magnetospiraceae"	"Magnetospira"	NA
"ASV_374"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	NA
"ASV_375"	"Bacteria"	"Cyanobacteria"	"Oxyphotobacteria"	NA	NA	NA	NA
"ASV_376"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Bdellovibrionales"	"Bacteriovoracaceae"	"Peredibacter"	NA
"ASV_377"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"NS5_marine_group"	NA
"ASV_378"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rickettsiales"	"Anaplasmataceae"	"Neorickettsia"	NA
"ASV_379"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Aestuariibacter"	"aggregatus"
"ASV_380"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Winogradskyella"	NA
"ASV_381"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Terasakiellaceae"	NA	NA
"ASV_382"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Coxiellales"	"Coxiellaceae"	"Coxiella"	NA
"ASV_383"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Alcanivoracaceae"	"Alcanivorax"	"borkumensis"
"ASV_384"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	NA
"ASV_385"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Family_XI"	"Ezakiella"	NA
"ASV_386"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Schlegelella"	NA
"ASV_387"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"SAR116_clade"	NA	NA
"ASV_388"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Ga0077536"	NA	NA	NA
"ASV_389"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"NS4_marine_group"	NA
"ASV_390"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Marinifilaceae"	"Marinifilum"	NA
"ASV_391"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Anoxybacillus"	NA
"ASV_392"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Desemzia"	"incerta"
"ASV_393"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"NS5_marine_group"	NA
"ASV_394"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Photobacterium"	"damselae"
"ASV_395"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Nioella"	"nitratireducens"
"ASV_396"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	NA	NA
"ASV_397"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Sphingobacteriales"	"NS11-12_marine_group"	NA	NA
"ASV_398"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	NA	NA
"ASV_399"	"Bacteria"	"Cyanobacteria"	"Oxyphotobacteria"	"Phormidesmiales"	"Phormidesmiaceae"	"Acrophormium_PCC-7375"	NA
"ASV_400"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Saccharospirillaceae"	"Oleibacter"	NA
"ASV_401"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA
"ASV_402"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	NA	NA
"ASV_403"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Puniceispirillales"	"SAR116_clade"	NA	NA
"ASV_404"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Cryomorphaceae"	"Cryomorpha"	NA
"ASV_405"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA
"ASV_406"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Catenococcus"	NA
"ASV_407"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Cyclobacteriaceae"	NA	NA
"ASV_408"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	NA
"ASV_409"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	NA
