"","observed","simpson","shannon","SampleID","Phenotype","Rep","Nutrient","Exposure_weeks","Nutrient_weeks","Nutrient_geno","Nutrient_merged_geno","Tank","T0_merge","NW_T0_merge","Nutrient_order","Nutrient_no_level","Geno_weeks","No_level_no_T0","Level","No_level_weeks","No_level_weeks_noT0","outlier"
"LN-50-3-T2",12,0.671065981607292,1.53427944014558,"LN-50-3-T2","Susceptible",3,"HN","6","HN6","50_HN","50_N","LN-50-3","HN","HN6",5,"Nitrate","50_6","Nitrate","H","N6","N6","N"
"MN-50-1-T2",14,0.432528956745481,1.06475583482601,"MN-50-1-T2","Susceptible",1,"LN","3","LN3","50_LN","50_N","MN-50-1","LN","LN3",4,"Nitrate","50_3","Nitrate","L","N3","N3","N"
"HA-50-1-T4",28,0.93887224941356,3.03272353419221,"HA-50-1-T4","Susceptible",1,"HA","6","HA6","50_HA","50_A","HA-50-1","HA","HA6",7,"Ammonium","50_6","Ammonium","H","A6","A6","N"
"HA-50-3-T4",49,0.960527917792875,3.45807080502635,"HA-50-3-T4","Susceptible",3,"HA","6","HA6","50_HA","50_A","HA-50-3","HA","HA6",7,"Ammonium","50_6","Ammonium","H","A6","A6","N"
"MP-50-2-TB",39,0.961355833150705,3.37800115988611,"MP-50-2-TB","Susceptible",2,"LP","0","LP0","50_T0","50_T0","MP-50-2","T0","T0",2,"T0","50_0","Phosphate","0","T0","P0","N"
"HC-50-3-TB",26,0.891794709458527,2.69243397701677,"HC-50-3-TB","Susceptible",3,"HC","0","HC0","50_T0","50_T0","HC-50-3","T0","T0",9,"T0","50_0","Combined","0","T0","C0","N"
"HP-50-3-TB",27,0.764230809814855,2.09496791066874,"HP-50-3-TB","Susceptible",3,"HP","0","HP0","50_T0","50_T0","HP-50-3","T0","T0",3,"T0","50_0","Phosphate","0","T0","P0","N"
"HP-50-1-TB",30,0.95872598436701,3.26794884908888,"HP-50-1-TB","Susceptible",1,"HP","0","HP0","50_T0","50_T0","HP-50-1","T0","T0",3,"T0","50_0","Phosphate","0","T0","P0","N"
"MP-50-3-TB",33,0.945933880406815,3.14606371040566,"MP-50-3-TB","Susceptible",3,"LP","0","LP0","50_T0","50_T0","MP-50-3","T0","T0",2,"T0","50_0","Phosphate","0","T0","P0","N"
"CTRL-50-4-TB",28,0.914911404939895,2.87338833881825,"CTRL-50-4-TB","Susceptible",4,"NT","0","NT0","50_T0","50_T0","CTRL-50-4","T0","T0",1,"T0","50_0","No Treatment","0","T0","NT0","N"
"MC-50-1-TB",31,0.913385443299973,2.95737277869954,"MC-50-1-TB","Susceptible",1,"LC","0","LC0","50_T0","50_T0","MC-50-1","T0","T0",8,"T0","50_0","Combined","0","T0","C0","N"
